DATE,GDP At Current Market Prices,Goods Producing Industries,Accommodation and Food Services,Construction,Utilities,Other Goods Industries,Services Producing Industries,Wholesale & Retail Trade,Transportation & Storage,Accommodation & Food Services,Information & Communications,Finance & Insurance,"Real Estate, Services, Support",Other Services Industries,  Ownership Of Dwellings,  Gross Value Added At Basic Prices,  Add: Taxes On Products
2007 2Q ,16.9,4.1,2.6,21.5,2.1,2.9,21.2,22.3,21.9,14,10.3,27.7,25.7,12.1,10.6,15.2,55.8
2007 1Q ,13.9,7.8,5.8,19.7,17.6,3.6,16.1,20.6,12.3,13.3,7.9,23.9,20.4,3.9,5.6,13.1,31.9
2006 4Q ,10.6,4.3,2.9,12.1,16.5,3.7,14.2,22.6,3.5,8.3,6.5,20.2,12.5,10.3,10.9,10.8,5.7
2006 3Q ,11.2,9.8,9.3,11.7,17.9,-10.5,12.3,21.3,-0.2,10.2,6.7,19.4,9.8,7.4,8.2,11.4,6.1
2006 2Q ,11.9,13.5,14.3,4.7,15.4,-0.7,11.4,20.6,-3,6,5.5,18.4,10.1,8.4,11.7,12.1,7.4
2006 1Q ,10.5,9.7,10.3,2.8,13.3,1.7,11.8,20.7,2.2,7.9,2.9,19.7,10.3,7,13.3,11.2,-2.5
2005 4Q ,10.5,8.4,9.5,5.2,-5.1,10.7,12.9,25,6.7,5.8,7.3,10,14,6.1,10.8,11.3,-3.4
2005 3Q ,9.1,6.7,8.1,1.4,-5,-4.8,11.6,26.3,6.4,3.9,7.9,4,12.5,4.4,12.1,9.9,-7.6
2005 2Q ,9.5,6.6,8.1,0.9,-7.5,13.6,11.5,24.9,7.9,4.1,4.6,9.8,9.2,4,10.6,9.8,4
2005 1Q ,8.3,9.4,11.4,3.6,-8.2,16.3,8.8,24.3,9.5,-1.2,8.9,0.8,9,-1.2,5,8.8,-0.8
2004 4Q ,14.5,20.9,25.8,-2.2,-1.8,3.8,12.2,25.1,10.7,2,6.2,9.9,9.2,7,-2.1,14.6,13.5
2004 3Q ,15.6,24.2,30.1,-5.5,4.6,21.1,13.2,26.3,17.2,9.4,7.5,7.6,8.6,5.9,-3.8,16.1,6.7
2004 2Q ,16.5,23.9,29.4,-4.6,6.9,-4.3,16.8,22,41.6,33.1,9.7,7.6,9.9,7,-5.6,18.2,-10.3
2004 1Q ,10.7,13.1,15.2,0.2,10.9,-4.1,9.9,11.1,15.8,5,4.9,14.4,6.7,5.7,-3,10.4,16
2003 4Q ,6.8,7.4,9.8,-4.7,2.3,-7.1,6.8,4.1,29.4,2.5,8.2,4.4,2.9,-0.4,2.3,6.8,7.1
2003 3Q ,2.8,-0.8,0.4,-6.2,-3.3,-12,3.8,-1.7,18.8,-4,6.1,9.2,0.5,-1.5,5.7,2.3,11.2
2003 2Q ,-2.9,-6.3,-6.3,-10.3,2.4,-15.1,-2.3,-0.6,-7.1,-22.3,6.7,0.4,-2.2,-2.3,7,-3.3,3.8
